SGG_nm,SGG_cd,BJD_nm,BJD_eng_nm,BJD_cd,y,avg_apt_age,avg_TF_large,cnt,rate_big_area_m2,pop_50_69,rate_buy,rate_welfare_recipient,avg_D_Sub
도봉구,11320,도봉동,Dobong-dong,10800,15.81626646,27.29708738,0.117647059,17,0.033533692,16632,0.223463687,6.251931088,318.2896451
노원구,11350,월계동,Wolgye-dong,10200,16.19844381,26.38213628,0.194444444,36,0.073510588,24562,0.133784487,7.822929321,571.2526293
노원구,11350,공릉동,Gongneung-dong,10300,16.09172001,22.42244526,0.1,40,0.098901668,22181,0.205718623,4.670596619,430.7766417
노원구,11350,하계동,Hagye-dong,10400,16.21613344,32.28965517,0.411764706,17,0.088899259,15094,0.115556799,8.429469826,425.4412764
노원구,11350,상계동,Sanggye-dong,10500,16.18799038,30.39104159,0.253521127,71,0.065367009,67251,0.125900832,5.25357769,430.5446923
노원구,11350,중계동,Junggye-dong,10600,16.2091775,29.23193167,0.170212766,47,0.099576988,27411.5,0.122494432,7.643707369,826.2140532
은평구,11380,수색동,Susaek-dong,10100,16.34917009,13.23033708,0.3,10,0.109289617,4099.5,0.141618497,4.527536006,461.991751
은평구,11380,녹번동,Nokbeon-dong,10200,16.36046302,8.969899666,0.285714286,7,0.070428794,11000,0.114304376,4.942761499,167.2391904
은평구,11380,불광동,Bulgwang-dong,10300,16.24755591,14.96103896,0.142857143,14,0.118406441,21332.5,0.140527578,6.367505252,448.7635705
은평구,11380,갈현동,Galhyeon-dong,10400,15.72428018,24.10191083,0,5,0.302796528,15027,0.198347107,6.211575829,634.7764152
은평구,11380,구산동,Gusan-dong,10500,15.76446276,18.10714286,0,7,0.140172676,10402,0.279591837,5.159341869,895.4783019
은평구,11380,대조동,Daejo-dong,10600,16.27451399,4.761341223,0,2,0.026236882,7668,0.206931702,6.45136807,293.6382821
은평구,11380,응암동,Eungam-dong,10700,16.25850293,8.777651083,0.157894737,19,0.061533632,23222.5,0.131315861,5.198527619,748.5008124
은평구,11380,역촌동,Yeokchon-dong,10800,15.72206589,16.28148148,0,1,0.1775,13931,0.409395973,5.537882522,970.6338152
은평구,11380,신사동,Sinsa-dong,10900,15.9220488,20.82274247,0,13,0.015526316,14832,0.219864995,4.945226917,731.1016515
은평구,11380,증산동,Jeungsan-dong,11000,16.26182353,16.50980392,0.333333333,3,0.044345898,5369.5,0.130935252,4.430226944,362.5201463
은평구,11380,진관동,Jingwan-dong,11400,16.20053687,11.83130435,0.025641026,39,0.255929851,15261.5,0.08271474,3.05062171,910.5227532
서대문구,11410,충정로3가,Chungjeongno 3(sam)-ga,10200,16.22694648,24.57407407,0,1,0,1162.5,0.067434211,3.824765356,27.31795933
서대문구,11410,합동,Hap-dong,10300,16.4582805,15.71428571,0,1,0,1162.5,0.109090909,3.824765356,432.1603956
서대문구,11410,냉천동,Naengcheon-dong,10500,16.51632643,14.36842105,0,2,0.240601504,1038.5,0.134099617,4.628276623,500.1315888
서대문구,11410,천연동,Cheonyeon-dong,10600,16.50952672,17,1,1,0,1038.5,0.170909091,4.628276623,675.4955429
서대문구,11410,영천동,Yeongcheon-dong,10800,16.30317718,28,0,1,0.268156425,1038.5,0.136904762,4.628276623,380.1915267
서대문구,11410,현저동,Hyeonjeo-dong,10900,16.36396927,24.33333333,0.333333333,3,0.16803653,1038.5,0.102249489,4.628276623,352.0759083
서대문구,11410,북아현동,Bugahyeon-dong,11000,16.64525897,12.10684932,0.5,4,0.03418124,5591.5,0.117774176,3.815195407,556.0930986
서대문구,11410,홍제동,Hongje-dong,11100,16.22651807,22.82871126,0.047619048,21,0.124088233,17339.5,0.144215011,4.31131019,423.645118
서대문구,11410,대현동,Daehyeon-dong,11200,16.30480322,16.27659574,0,1,0.087719298,639.6,0.118609407,2.220974165,328.2558444
서대문구,11410,연희동,Yeonhui-dong,11700,16.11586397,18.04864865,0,6,0.169680111,8935,0.19047619,2.599526828,901.5803307
서대문구,11410,홍은동,Hongeun-dong,11800,16.00813032,21.26380368,0.0625,16,0.100013795,15600,0.211525868,4.181857394,774.4429258
서대문구,11410,북가좌동,Bukgajwa-dong,11900,16.30816329,17,0.111111111,9,0.182384779,15106.5,0.132305195,4.373076134,646.7733294
서대문구,11410,남가좌동,Namgajwa-dong,12000,16.44389046,11.85849057,0.416666667,12,0.109390527,11662.5,0.115269957,3.784734903,699.6181325
마포구,11440,아현동,Ahyeon-dong,10100,16.81050448,11.09160305,0.333333333,6,0.109577583,4878.333333,0.08814741,2.690627694,237.7956259
마포구,11440,공덕동,Gongdeok-dong,10200,16.69587248,17.24035608,0,14,0.125632525,4878.333333,0.115732369,2.690627694,354.6756709
마포구,11440,신공덕동,Singongdeok-dong,10300,16.60494196,17.77889447,0,10,0.232698962,2686.5,0.122486289,3.106647954,330.8904091
마포구,11440,도화동,Dohwa-dong,10400,16.48181254,24.18450185,0.25,8,0.190700017,6608.5,0.108847497,2.642343537,289.9961441
마포구,11440,용강동,Yonggang-dong,10500,16.81196715,13.4057971,0,3,0.128571429,875,0.066276803,2.094511908,478.0958724
마포구,11440,토정동,Tojeong-dong,10600,16.70773803,26,0,1,0,875,0.074285714,2.094511908,383.7490598
마포구,11440,마포동,Mapo-dong,10700,16.16717967,16.25,0,2,0.207627119,3922,0.188679245,2.336303109,254.5838057
마포구,11440,대흥동,Daeheung-dong,10800,16.72373696,12.16915423,0.333333333,6,0.119596542,3250.8,0.090415913,2.449547341,216.810221
마포구,11440,염리동,Yeomni-dong,10900,16.77598021,14.44715447,0.2,5,0.089857046,7015.833333,0.110803324,2.432538497,443.4566604
마포구,11440,노고산동,Nogosan-dong,11000,15.95195568,19.06779661,0,1,0,2861.833333,0.136627907,2.32044486,394.0284368
마포구,11440,신수동,Sinsu-dong,11100,16.64436383,13.13076923,0.125,8,0.112056738,2375.8,0.086906141,2.586438439,293.7374106
마포구,11440,현석동,Hyeonseok-dong,11200,16.80311751,14.66153846,0,3,0.159786951,1226.8,0.091880342,1.84914404,502.3002244
마포구,11440,창전동,Changjeon-dong,11400,16.52115519,16.47058824,0,10,0.073939394,1242.5,0.096397274,1.468285441,261.494899
마포구,11440,상수동,Sangsu-dong,11500,16.65532407,11.62337662,0,3,0.144617913,1242.5,0.113065327,1.468285441,241.0430211
마포구,11440,하중동,Hajung-dong,11600,16.66380409,13,0,1,0.37704918,1242.5,0.110169492,1.468285441,388.0650182
마포구,11440,신정동,Sinjeong-dong,11700,16.55097234,24.05555556,0,1,0.249070632,1226.8,0.056338028,1.84914404,371.0239474
마포구,11440,서교동,Seogyo-dong,12000,16.24601735,15.66129032,0,3,0.093881857,1712.833333,0.137096774,1.759482457,266.647568
마포구,11440,합정동,Hapjeong-dong,12200,16.46251987,12.64814815,0,2,0.333333333,4139.5,0.212765957,3.023952096,394.0284368
마포구,11440,망원동,Mangwon-dong,12300,16.25867455,14.7654321,0,5,0.117180617,10226,0.185080264,3.149127446,579.3250834
마포구,11440,연남동,Yeonnam-dong,12400,16.23188416,22.01538462,0,1,0.289699571,3519.5,0.285,1.894108362,630.2249093
마포구,11440,성산동,Seongsan-dong,12500,16.57786483,30.18927445,0.285714286,7,0.030455472,10120,0.084638172,4.555787763,349.2465427
마포구,11440,중동,Jung-dong,12600,16.25257849,21.2,0,6,0.130813953,5090,0.131386861,5.851397549,497.4994181
마포구,11440,상암동,Sangam-dong,12700,16.42926988,17.01234568,0.071428571,14,0.135005274,7895.5,0.041987179,4.316902919,903.9356615
양천구,11470,신정동,Sinjeong-dong,10100,16.52410286,24.86715621,0.232142857,56,0.175249169,53084.5,0.080839089,4.117772317,829.0895148
