"year","team","name","ERA","G","W","L","SV","HLD","WPCT","IP","H","HR","BB","HBP","SO","R","ER","WHIP","CG","SHO","QS","BSV","TBF","NP","AVG","2B","3B","SAC","SF","IBB","WP","BK","GS","Wgs","Wgr","GF","SVO","TS","GDP","GO","AO","GO_AO","BABIP","P_G","P_IP","K_9","BB_9","K_BB","OBP","SLG","OPS","rank_sv","closer","is_fa","log_salary"
2020,"두산","이승진","5.61",33,2,4,0,5,"0.333",51.3333333333333,55,3,22,2,54,33,32,"1.50",0,0,1,1,228,989,"0.275",12,2,2,2,1,0,0,5,0,2,2,6,0,6,44,49,"0.90",0.359,30,"19.3","9.47","3.86","2.45",0.35,"0.400",0.75,5,"0",0,9.21034037197618
2020,"두산","이형범","7.71",27,1,2,1,1,"0.333",25.6666666666667,30,5,16,2,13,22,22,"1.79",0,0,0,2,122,444,"0.291",6,0,1,0,2,1,0,0,0,1,8,4,0,2,27,33,"0.82",0.294,16.4,"17.3","4.56","5.61","0.81",0.397,"0.495",0.892,4,"0",0,9.10497985631836
2020,"한화","윤대경","1.59",55,5,0,0,7,"1.000",51,48,3,25,3,42,16,9,"1.43",0,0,0,0,225,869,"0.251",7,0,4,2,3,1,0,0,0,5,10,6,0,5,36,67,"0.54",0.304,15.8,"17.0","7.41","4.41","1.68",0.344,"0.335",0.679,3,"0",0,8.94897560784178
2020,"한화","강재민","2.57",50,1,2,1,14,"0.333",49,41,3,18,0,57,16,14,"1.20",0,0,0,2,203,871,"0.227",5,0,3,1,1,2,1,0,0,1,4,13,0,2,33,51,"0.65",0.311,17.4,"17.8","10.47","3.31","3.17",0.295,"0.304",0.599,2,"0",0,8.97461803845511
2020,"한화","김진영","3.33",58,3,3,0,8,"0.500",54,48,6,22,3,56,26,20,"1.30",0,0,0,1,231,949,"0.236",4,0,1,2,0,5,0,0,0,3,7,9,0,3,47,54,"0.87",0.294,16.4,"17.6","9.33","3.67","2.55",0.317,"0.345",0.662,3,"0",0,8.97461803845511
2020,"한화","송윤준","4.30",26,0,0,0,1,"-",23,23,1,13,1,16,11,11,"1.57",0,0,0,0,106,434,"0.258",7,0,2,1,0,3,0,0,0,0,6,2,0,1,18,33,"0.55",0.301,16.7,"18.9","6.26","5.09","1.23",0.356,"0.371",0.727,3,"0",0,8.29404964010203
2020,"한화","박상원","4.66",62,1,0,1,10,"1.000",58,62,8,20,4,52,35,30,"1.41",0,0,0,4,256,981,"0.271",14,1,1,2,4,2,1,0,0,1,10,15,0,7,54,63,"0.86",0.316,15.8,"16.9","8.07","3.10","2.60",0.337,"0.445",0.782,2,"0",0,9.49551931420985
2020,"한화","김범수","5.24",24,3,6,0,0,"0.333",55,55,9,42,3,55,34,32,"1.76",0,0,2,0,259,1091,"0.261",11,2,1,2,3,1,0,8,2,1,0,0,0,4,47,56,"0.84",0.309,45.5,"19.8","9.00","6.87","1.31",0.388,"0.460",0.848,3,"0",0,8.77955745588373
2020,"한화","김진욱","5.64",22,3,4,1,0,"0.429",44.6666666666667,50,9,25,5,29,29,28,"1.68",0,0,1,1,206,837,"0.287",12,1,2,0,0,3,0,6,2,1,6,2,0,3,36,59,"0.61",0.301,38,"18.7","5.84","5.04","1.16",0.392,"0.523",0.915,2,"0",0,8.26873183211774
2020,"한화","안영명","5.91",39,1,1,0,1,"0.500",45.6666666666667,51,9,18,2,34,32,30,"1.51",0,0,0,1,201,753,"0.293",8,1,4,3,1,0,0,0,0,1,11,2,0,5,29,63,"0.46",0.313,19.3,"16.5","6.70","3.55","1.89",0.36,"0.506",0.866,3,"0",0,8.85366542803745
